time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1760795234997000400,4621.872000488282,1097.5129091178471,0.26054948122016447,1.000000007346887,46.982034481385796,1049.2943384086186,257.58140537584177,6.000906205260658,4.926000595092773,8.388966965319785,30.52783203125
1760795235996989700,4622.871989746094,1096.555228347927,0.22272191836053254,1.000000007346887,46.98197128167328,1048.3366576386984,257.0264115246432,6.000906205260658,4.8443474769592285,8.388583214182058,30.37435531616211
1760795236996978200,4623.871978271484,1095.434973348716,0.263929424950956,1.000000007346887,46.981907576514956,1047.2164026394876,257.23000580342296,6.000906205260658,4.755502700805664,8.388218720952937,29.744403839111328
1760795237996968400,4624.8719685058595,1094.2841168673476,0.3099180128137194,3.995628685313744,46.98185564450976,1046.065546158119,257.78002727690574,8.001208273680877,4.717936992645264,8.387835728396558,29.1271915435791
1760795238996957700,4625.871957763672,1093.1400715108377,0.3118490831007207,1.000000007346887,46.98179463188243,1044.9215008016092,257.93542774090184,8.001208273680877,4.732724189758301,8.387447112520853,29.198745727539062
1760795239996947000,4626.871947021485,1091.7499022026961,0.21574883118718416,1.053679174818173,46.981744496552146,1043.5313314934676,258.8909165642733,8.001208273680877,4.738423824310303,8.387069215633286,29.198745727539062
1760795240996936200,4627.871936279297,1090.2439237610115,0.2248099302447779,1.000000007346887,46.98169014682625,1042.025353051783,258.34507516656254,8.001208273680877,4.7348151206970215,8.38668512845339,29.598724365234375
1760795241996924400,4628.871924316406,1088.7530274904839,0.2547571303546152,1.000000007346887,46.98163217314648,1040.5344567812554,258.6449204711261,8.001208273680877,4.7439961433410645,8.386311380841809,29.67327308654785
1760795242996914200,4629.8719140625,1087.0102530388815,0.3504630593370609,1.3512082930444387,46.98158019291114,1038.791682329653,258.0157507655412,8.001208273680877,4.720518112182617,8.385920887202024,30.00905990600586
1760795243996903200,4630.871903076172,1085.3709604837206,0.353541378537392,4.400352351940189,46.98152523286377,1037.1523897744921,256.7303364845015,8.001208273680877,4.684723377227783,8.38552236424141,30.45427131652832
1760795244996892000,4631.871891845703,1083.6838502754981,0.3249334707390024,1.0209647325487141,46.981436723155326,1035.4652795662696,255.71425022281372,8.001208273680877,4.918177604675293,8.385124656214709,30.45427131652832
1760795245996882000,4632.8718818359375,1082.3983492908617,0.32734412418608116,2.729314955439383,46.98134547808814,1034.1797785816332,253.82368118131086,8.001208273680877,4.916145324707031,8.384723997652367,30.899763107299805
